sent_id,frame,condition,alpha,prefix,generation,mean_logp_per_tok,lex_geo_minus_life_per100,n_geo_hits,n_life_hits,n_positions_injected
CUL-01|zh|baseline|hanzi#016,CUL,delta_lang,-2.0,對許多喜歡在深夜四處尋覓小吃的饕客來說，台灣,"街頭巷弄裡總是充滿著令人驚喜的美味。而「深夜食堂」這個概念，更是將這種獨特的飲食文化推向了高峰。

近年來，深夜食堂在台灣掀起一股熱潮，從原本的日式風格，逐漸演變成融合台灣在地食材與特色的",-0.4703633465722987,0.0,0,0,1
CUL-01|zh|baseline|hanzi#016,CUL,delta_lang,-1.0,對許多喜歡在深夜四處尋覓小吃的饕客來說，台灣,"夜市絕對是天堂。然而，除了熱鬧的攤販和琳琅滿目的美食，夜市裡也隱藏著許多令人意想不到的「黑暗面」。

一位在台灣生活多年的外國人，在網路上分享了他對台灣夜市的真實觀察，引起廣泛討論",-0.44161418924113605,-4.444444444444445,0,4,1
CUL-01|zh|baseline|hanzi#016,CUL,baseline,0.0,對許多喜歡在深夜四處尋覓小吃的饕客來說，台灣,"夜市絕對是天堂。然而，除了熱鬧的攤販和琳琅滿目的美食，夜市裡也隱藏著許多令人意想不到的「黑暗面」。

一位在台灣夜市打工多年的網友，在網路上分享了他在夜市工作的真實經歷，揭露了夜",-0.4415487997291514,-5.617977528089888,0,5,0
CUL-01|zh|baseline|hanzi#016,CUL,delta_lang,1.0,對許多喜歡在深夜四處尋覓小吃的饕客來說，台灣,"'s夜市文化是不可錯過的體驗。從熱氣騰騰的蒸籠到香氣四溢的烤肉，夜市提供各種各樣的美食，滿足各種口味。

以下是一些在台灣夜市中必吃的食物：

* **小籠包：**這些小巧",-0.537890953332866,-4.651162790697675,0,4,1
CUL-01|zh|baseline|hanzi#016,CUL,delta_lang,2.0,對許多喜歡在深夜四處尋覓小吃的饕客來說，台灣,"'s夜市文化是不可錯過的體驗。從熱氣騰騰的蒸籠到香氣四溢的烤肉，夜市提供各種各樣的美食，滿足各種口味。

以下是一些在台灣夜市中必吃的食物：

* **小籠包：**這些小巧",-0.5379044576461318,-4.651162790697675,0,4,1
CUL-01|zh|baseline|hanzi#016,CUL,delta_ctrl,-1.0,對許多喜歡在深夜四處尋覓小吃的饕客來說，台灣,"夜市絕對是天堂。然而，除了熱鬧的攤販和琳琅滿目的美食，夜市中也隱藏著許多令人意想不到的「黑暗面」。

一位在台灣夜市工作多年的前攤販，在網路論壇上匿名分享了他的經驗，揭露了夜市",-0.4446126263032397,-5.681818181818182,0,5,1
CUL-01|zh|baseline|hanzi#016,CUL,delta_ctrl,1.0,對許多喜歡在深夜四處尋覓小吃的饕客來說，台灣,"'s夜市文化是不可錯過的體驗。從熱氣騰騰的食物到充滿活力的氛圍，夜市提供了一種獨特的感官享受。

以下是一些台灣最著名的夜市：

* **饒河街夜市 (台北):** 台北最古老的夜市",-0.4166064648585994,-5.4945054945054945,0,5,1
CUL-01|zh|baseline|hanzi#016,CUL,delta_tw_resid,-1.0,對許多喜歡在深夜四處尋覓小吃的饕客來說，台灣,"夜市絕對是天堂。然而，除了熱鬧的攤販和琳琅滿目的美食，夜市裡也隱藏著許多令人意想不到的「黑暗面」。

一位在台灣夜市打工多年的網友，在網路上分享了他在夜市工作的內幕，揭露了許多",-0.4632472616224188,-5.681818181818182,0,5,1
CUL-01|zh|baseline|hanzi#016,CUL,delta_tw_resid,1.0,對許多喜歡在深夜四處尋覓小吃的饕客來說，台灣,"夜市絕對是天堂。然而，除了熱鬧的攤販和琳琅滿目的美食，夜市裡也隱藏著許多令人意想不到的「黑暗面」。

一位在台灣生活多年的外國人，在Reddit上分享了他對台灣夜市的真實體驗，引起了廣泛",-0.4775231382616312,-4.301075268817204,0,4,1
CUL-01|zh|baseline|hanzi#016,CUL,random#0,-1.0,對許多喜歡在深夜四處尋覓小吃的饕客來說，台灣,"夜市絕對是天堂。除了各式各樣的攤販，還有許多獨特的台灣小吃，讓人流連忘返。以下就為大家整理出台灣夜市必吃小吃的清單，讓你規劃一趟美味的夜市之旅！

**經典必吃**

*   **",-0.4239186392562071,-5.555555555555555,0,5,1
