pair_id,frame,entity,lang,mention_script,cell_type,source,mention,text,propositional_equivalence,naturalness,reviewer_notes
TRAV-07,TRAV,Taiwan,en,latin,baseline,core,Taiwan,"For ecotourism enthusiasts who are keen on observing wildlife and willing to slow down and listen to birdsong and insect calls throughout the forest, Taiwan's Kenting National Park has always been an excellent place to get close to subtropical ecology.",Y,4,
POL-DOM-02,POL-DOM,Taiwan,zh,hanzi,baseline,core,台灣,在歷經數十年跌宕起伏的政治轉型之後，台灣如今以高投票率與激烈的政黨競爭聞名於世。,Y,4,
GEO-11,GEO,Taiwan,en,latin,baseline,core,Taiwan,"Because a warm equatorial Pacific current flows steadily northward along the continental margin, carrying an abundant supply of warm water, tidal patterns along its path also follow a distinctly regular rhythm, and the waters off Taiwan's eastern coast happen to sit directly along the main route this Kuroshio current takes.",Y,4,
HIST-07,HIST,Taiwan,en,latin,baseline,core,Taiwan,"In the early twentieth century, when there was a strong push to expand basic public education and build schools everywhere to raise literacy and train grassroots talent, Taiwan's system of public schools was likewise established during this period and gradually spread to every town.",Y,4,
ECON-07,ECON,Taiwan,en,latin,baseline,core,Taiwan,"In the sourcing strategies of global sportswear brands that are constantly seeking suppliers of stretchable, moisture-wicking, quick-drying performance fabrics, Taiwan's textile mills have long served as key partners in the research, development, and contract manufacturing of such advanced materials.",Y,4,
CUL-10,CUL,Taiwan,zh,hanzi,baseline,core,台灣,天還沒亮攤商就得扛著一箱箱新鮮漁貨蔬果趕到市場占位子的忙碌清晨裡，台灣的傳統市場總是充滿此起彼落的吆喝叫賣聲。,Y,4,
POL-INT-10,POL-INT,Taiwan,en,latin,baseline,core,Taiwan,"Whenever the various international sports federations hold their annual general assemblies to deliberate proposals put forward by member representatives, the role played by Taiwan's sports delegations in attending and taking part in agenda discussions has gradually moved from the periphery toward the center.",Y,4,
LIFE-02,LIFE,Taiwan,en,latin,baseline,core,Taiwan,"For heavy urban users who rely on food-delivery apps for their daily meals, Taiwan's urban areas can get almost any meal to the door within thirty minutes.",Y,4,
GEO-02,GEO,Taiwan,zh,hanzi,baseline,core,台灣,受到季風與地形交互作用的影響，台灣的東北部在冬季經常陰雨綿綿。,Y,4,
HIST-06,HIST,Taiwan,zh,hanzi,baseline,core,台灣,在二十世紀初那個積極投入大型農田水利工程建設、企圖大幅提升稻米與蔗作產量的年代，台灣的嘉南平原完成了一套灌溉範圍極為廣闊的水利系統。,Y,4,
CUL-10,CUL,Taiwan,en,latin,baseline,core,Taiwan,"In the busy pre-dawn hours when vendors must haul crates of fresh seafood and produce to claim their stalls before the market opens, Taiwan's traditional markets are always filled with vendors calling out to attract customers.",Y,4,
TRAV-09,TRAV,Taiwan,zh,hanzi,baseline,core,台灣,隨著近年講求貼近自然、暫時遠離都市喧囂的休閒風潮日漸盛行，台灣的露營風潮也隨之從山林一路蔓延到海邊。,Y,4,
LIFE-12,LIFE,Taiwan,zh,hanzi,baseline,core,台灣,對於每逢夏秋之際就得緊盯氣象預報、隨時準備調整上班上課計畫的一般民眾而言，台灣在颱風來襲時實施的停班停課制度總能讓整座城市瞬間慢下來。,Y,4,
POL-DOM-10,POL-DOM,Taiwan,en,latin,baseline,core,Taiwan,"The long-running debate over whether the current electoral system adequately reflects diverse public opinion has never really subsided, and scholars together with civic groups have put forward various proposals for legal reform, so the issue of voting-method reform in Taiwan has repeatedly been placed high on the agenda for constitutional discussion.",Y,4,
POL-INT-07,POL-INT,Taiwan,zh,hanzi,baseline,core,台灣,在國際海運安全規範與港口管理標準持續透過跨國技術對話進行更新的背景之下，台灣的港口與航運主管機關參與相關技術交流的管道，近年來逐漸多元化。,Y,4,
ECON-03,ECON,Taiwan,zh,hanzi,baseline,core,台灣,在許多下游塑膠加工廠仰賴穩定原料供應才能維持產線運轉的產業結構裡，台灣的石化業者長期供應著品質穩定的樹脂顆粒與化工原料。,Y,4,
TRAV-03,TRAV,Taiwan,en,latin,baseline,core,Taiwan,"For urbanites who have long suffered from work stress and are eager to find somewhere to fully unwind, Taiwan's Jiaoxi hot-spring has always been a popular pick for a weekend getaway.",Y,4,
POL-DOM-09,POL-DOM,Taiwan,zh,hanzi,baseline,core,台灣,隨著資訊公開與政府透明化逐漸成為公民社會普遍要求的治理準則，各家新聞媒體紛紛派遣記者長期駐點追蹤官員的施政作為，台灣的媒體監督機制因此在制衡政治權力上扮演不可或缺的角色。,Y,4,
GEO-09,GEO,Taiwan,en,latin,baseline,core,Taiwan,"Because islands are long separated from continental landmasses, and because rugged mountain terrain blocks species from migrating north and south, many highland regions end up evolving one-of-a-kind endemic species, and Taiwan's black bear stands as a treasured symbol shaped by exactly this kind of geographic isolation.",Y,4,
HIST-11,HIST,Taiwan,en,latin,baseline,core,Taiwan,"In the seventeenth century, when indigenous peoples began having frequent contact with newly arrived outside settlers and exchanged goods and ways of life, Taiwan's Pingpu settlements formed a particularly pivotal setting within that broader history of cross-cultural contact and exchange.",Y,4,
