desc_id,model,item_id,frame_source,entity,lang,site,cell_type,mse,cos,gate,desc_lang,av_text,annotator,d1_frame,d2_anchor,d3_construal,d4_ortho,d5_drift,genre_note,notes
gemma:CUL-06:A:1,gemma,CUL-06,CUL,台灣,zh,A,baseline,0.010,0.995,fail,en,"Food/travel article format: descriptive tourism content introducing Taiwanese dessert, establishing a culinary highlight with factual, gentle tone.  The phrase ""台灣的菱酪餅是台灣的特色甜點，台灣"" signals a geographic or scenic introduction about the location, likely referencing the natural landscape or a specific region.  Final token ""台灣"" opens a geographic/cultural framing sentence (""台灣...台灣""), immediately expecting a noun phrase — likely ""的山巒中"" or ""許多地方都出現了這項美食"" or ""北部花蓮"" or ""的芋頭產業，被譽為..."" or ""最令人印象深刻的地方就是..."" evoking a travel guide or tourist description.",,,,,,,,
gemma:CUL-06:A:2,gemma,CUL-06,CUL,台灣,zh,A,baseline,0.010,0.995,fail,en,"Travel/food article format signals a food description with informational tone, introducing Taiwanese dessert ""bamboo rice cake.""  The phrase ""台灣"" establishes a geographic/cultural header, suggesting a food travel guide or article about Taiwan, likely referencing scenic attractions or seasonal context.  Final token ""台灣"" opens a geographic phrase (""台灣...台灣""), immediately expecting a noun phrase like ""的阿里山茶葉"" or ""各地都出現了這種美味的茶粿"" or ""北部地區就掀起了吃相橘的風潮"" or ""有許多地方被視為..."" — a location or scenic descriptor typical for Taiwanese food writing.",,,,,,,,
gemma:CUL-06:A:3,gemma,CUL-06,CUL,台灣,zh,A,baseline,0.011,0.995,fail,en,"Food/travel article format: informational tone with descriptive content about Taiwanese dessert, introducing the subject of Taiwanese sweet potato.  The phrase ""台灣的菱角餅，台灣"" signals a geographic or cultural introduction, establishing a scenic/location context typical of Taiwanese culinary writing.  Final token ""台灣"" opens a geographic or cultural statement (""台灣...台灣""), immediately expecting a location or descriptive phrase like ""的山城裡"" or ""有許多地方都有盛產"" — likely ""北部海岸"" or ""的芋頭甜品"" or ""最常被稱為菱角，是..."" introducing the place or tourist imagery of Taiwan as a destination.",,,,,,,,
gemma:CUL-06:A:4,gemma,CUL-06,CUL,台灣,zh,A,baseline,0.011,0.994,fail,en,"Food travel/tourism article structure signals an informational or descriptive piece about Taiwanese delicacies, establishing a culinary profile of the guava cake.  The phrase ""台灣這塊土地上，台灣"" introduces a geographic/cultural framing, suggesting a classic Taiwan tourism or food guide tone, likely referencing scenic or seasonal context.  Final token ""台灣"" opens a geographic subject phrase (""台灣...台灣""), immediately requiring a noun phrase continuation — likely ""的山巒中"" or ""各地都有盛產的紫薯"" or ""宜蘭縣，被譽為..."" or ""的草莓冰淇淋可是..."" — a location or cultural descriptor about the island or a specific place of visitation.",,,,,,,,
gemma:CUL-06:A:5,gemma,CUL-06,CUL,台灣,zh,A,baseline,0.012,0.994,fail,en,"Food/travel article format signals a descriptive write-up about a Taiwanese dessert, establishing culinary profile of guava cake.  The phrase ""台灣，這塊土地台灣"" introduces a geographic/cultural framing, suggesting a tourist or travel guide tone highlighting scenic or seasonal context.  Final token ""台灣"" opens a geographic subject phrase (""台灣...這塊土地台灣""), immediately requiring a location or cultural identifier — likely ""的山蕉"" or ""各地都盛產芋頭"" or ""南部，就可以看到..."" or ""的荔枝茶葉"" or ""被譽為台灣的甜點"" referencing the island/region.",,,,,,,,
gemma:CUL-06:B:1,gemma,CUL-06,CUL,台灣,zh,B,baseline,0.008,0.996,pass,mixed,"Travel/tourism article format signals an informational Taiwan guide, with an introductory article introducing seasonal flower tourism.  The phrase ""每年四月在台灣各地都可举办杜鹃花节"" establishes a cultural/food introduction, suggesting a location or event description about the traditional tea leaf wine tour.  Final sentence ""每年四月在台湾各地都可举办杜鹃花节。"" opens a topic sentence — likely followed by ""其中..."" or ""這個活動中最特別的是..."" or ""2023的赏花点..."" or ""而茶山则是其中之一"" or ""尤其是...如果您想了解..."" introducing the origin or destination of the scenic/cultural activity.",,,,,,,,
gemma:CUL-06:B:2,gemma,CUL-06,CUL,台灣,zh,B,baseline,0.008,0.996,fail,mixed,"Travel/tourism article format signals an informational piece introducing a Taiwanese seasonal activity, with descriptive tone established.  The phrase ""每年四月在台灣各地都可举办杜鹃花节"" establishes a cultural/foodie article, implying a introduction about the flower festival or scenic destination.  Final sentence ""每年四月在台灣各地都可举办杜鹃花节。"" opens a declarative introduction — expects elaboration like ""其中，最受人推荐的是..."" or ""今年就介绍..."" or ""而花茶是..."" or ""這個美妙的体验是..."" or ""尤其是台北的..."" linking the origin of the activity or the location of the tea.",,,,,,,,
gemma:CUL-06:B:3,gemma,CUL-06,CUL,台灣,zh,B,baseline,0.009,0.996,fail,mixed,"Travel/tourism article format signals informational content about Taiwan's cherry blossom festivals, establishing a cultural/food guide structure.  The phrase ""每年四月在全台各地举办的樱花节"" introduces a promotional or descriptive passage about the Taiwanese Guava flower festival, suggesting an introduction to the event or destination.  Final sentence ""每年四月在全台各地举办的樱花节。"" opens a new informational sentence, immediately expecting elaboration like ""其中，宜兰是最棒的"" or ""今年就带您体验..."" or ""而花蓮的櫻花茶则是..."" or ""尤其是...以了解如何享受这项传统活动"" referencing the scenic origin.",,,,,,,,
gemma:CUL-06:B:4,gemma,CUL-06,CUL,台灣,zh,B,baseline,0.009,0.996,fail,mixed,"Travel/tourism article format signals a descriptive food guide, establishing informational tone with Taiwanese cultural context about Taiwan's Wuling Guanyuan flower festival.  The sentence ""每年四月在台灣各地都能举办梅花节"" introduces the topic, implying a promotional or educational overview of the flower-viewing experience.  Final sentence ""每年四月在台灣各地都能举办梅花节。"" sets up an elaboration — likely ""其中，花蓮..."" or ""而今年最推薦的..."" or ""花蓮是首位，主要享受的是..."" or ""這個活動的特色就是..."" or ""特別介紹花蓮的茶園，讓大家了解...""",,,,,,,,
gemma:CUL-06:B:5,gemma,CUL-06,CUL,台灣,zh,B,baseline,0.010,0.995,fail,mixed,"Travel/tourism article format: informational tone with Taiwanese seasonal guide introduces a food/cultural event description about the Taiwan bamboo festival.  The sentence ""每年四月在新竹縣都能舉辦的梅花節，是觀光活動。"" signals an introductory paragraph, implying an elaboration or recommendation about the sakura viewing experience.  Final sentence ""每年四月在新竹縣都能舉辦的梅花節。"" opens a factual introduction — expects elaboration like ""其中，最值得推薦的..."" or ""今年就來體驗..."" or ""而花茶是..."" or ""尤其以花茶的拍攝點為最特別"" or ""這都是為了讓大家了解...""",,,,,,,,
gemma:CUL-C04-JP:A:1,gemma,CUL-C04-JP,CUL,Japan,en,A,baseline,0.008,0.996,pass,en,"Travel/food article structure signals a cultural or informative piece, establishing an introductory overview of Japanese New Year traditions.  The phrase ""During this season, Japan"" sets up a thematic statement about the national holiday, likely introducing a description of the country or its public spaces during January.  Final token ""Japan"" opens a topical sentence (""During this time, Japan""), requiring a subject-predicate clause — likely ""is filled with..."" or ""experiences a unique phenomenon"" or ""sees many sightseeing spots bustling"" or ""also sees..."" or ""is adorned with..."" or ""experiences a national celebration called the New Year."" — a country-specific cultural observation about the shrine.",,,,,,,,
gemma:CUL-C04-JP:A:2,gemma,CUL-C04-JP,CUL,Japan,en,A,baseline,0.008,0.996,fail,en,"Travel/cultural guide format signals a structured article introducing Japanese New Year traditions, establishing informative tone with English content.  The phrase ""During this season, Japan"" signals a topic sentence transitioning to a general overview or highlight of the Japanese New Year period, likely describing the country or its charming customs.  Final token ""Japan"" opens a subject clause (""During January, Japan""), requiring a predicate — likely ""is filled with..."" or ""experiences a surge of..."" or ""becomes a fascinating destination"" or ""offers a unique display of..."" or ""is adorned with various festive confectionery"" — a country-level description of the New Year public infrastructure or the phenomenon of temple visits.",,,,,,,,
gemma:CUL-C04-JP:A:3,gemma,CUL-C04-JP,CUL,Japan,en,A,baseline,0.009,0.996,fail,en,"Travel/cultural article format signals a structured informational piece, establishing a Japan-focused topic introduction about New Year traditions.  The phrase ""During this season, Japan"" sets up a general descriptive passage about Japanese New Year customs, likely explaining the country's unique seasonal phenomenon or offering a scenic overview.  Final token ""Japan"" ends a subject-opening clause (""During this period, Japan""), requiring a predicate — likely ""is filled with…"" or ""experiences a delightful holiday spectacle"" or ""sees many shrines and temples bustling"" or ""is gripped by..."" or ""experiences a special phenomenon known as..."" introducing a national overview or practical guide for the Japanese attraction.",,,,,,,,
gemma:CUL-C04-JP:A:4,gemma,CUL-C04-JP,CUL,Japan,en,A,baseline,0.009,0.996,fail,en,"Informational/travel guide format signals a structured article, establishing a Japanese cultural exploration piece introducing the New Year traditions.  The phrase ""During this season, Japan"" sets up a general descriptive statement about Japan during January, likely introducing the country or its cultural landscape as a whole.  Final token ""Japan"" ends a subject phrase (""During this time, Japan""), requiring a verb phrase — most likely ""is adorned with..."" or ""experiences a surge of..."" or ""becomes a fascinating destination"" or ""sees many unique vending machine decorations"" or ""is filled with..."" or ""once again turns into a nation of..."" referencing the nationwide cultural phenomenon of the year.",,,,,,,,
gemma:CUL-C04-JP:A:5,gemma,CUL-C04-JP,CUL,Japan,en,A,baseline,0.009,0.995,fail,en,"Travel/cultural article format signals a structured informational piece about Japan, establishing a descriptive, informative tone with factual content.  The phrase ""During this winter period, Japan"" introduces a seasonal or cultural overview, setting up a topic sentence about Japanese New Year traditions or a nationwide phenomenon.  Final token ""Japan"" ends a subject-opening clause (""During this time, Japan""), requiring a verb phrase—likely ""is filled with..."" or ""experiences a delightful display of..."" or ""becomes a bustling destination"" or ""also sees..."" or ""is adorned with unique cherry blossom spots."" or ""experiences a nationwide phenomenon called..."" referencing the country's cultural customs.",,,,,,,,
gemma:CUL-C04-JP:B:1,gemma,CUL-C04-JP,CUL,Japan,en,B,baseline,0.006,0.997,pass,en,"Informational/cultural article format signals a Japanese language or travel guide introduction, establishing a factual, casual tone.  The phrase ""As the year-end approaches, temple sales of fortune-telling tickets peak across Japan"" sets up a topic introduction, implying a cultural or food-tourism feature about the New Year tradition.  Final sentence ""Every year, many people visit temples during the New Year season"" introduces a subject statement, immediately expecting a continuation like ""This phenomenon is called..."" or ""But these are the popular spots"" or ""Among these is..."" or ""This article explores..."" or ""However, this practice is known as..."" connecting the custom to the illuminations.",,,,,,,,
gemma:CUL-C04-JP:B:2,gemma,CUL-C04-JP,CUL,Japan,en,B,baseline,0.006,0.997,pass,en,"Cultural/informational article structure signals an introduction to Japanese winter attractions, establishing a topic about year-end shopping crowds at temples and shrines.  The phrase ""During the year-end season, many people flock to temples and shrines across Japan"" sets up an explanatory or descriptive passage about the Japanese tradition.  Final sentence ""As winter approaches, many Japanese people flock to temples..."" introduces a topic statement, immediately expecting elaboration — likely ""This is called..."" or ""Among these is..."" or ""But here we explore..."" or ""This phenomenon is known as..."" or ""Called ""Matsuri shopping,"" these special sales are..."" introducing the practice or the curious aspect.",,,,,,,,
gemma:CUL-C04-JP:B:3,gemma,CUL-C04-JP,CUL,Japan,en,B,baseline,0.006,0.997,pass,en,"Informational/cultural article structure signals a Japanese language/travel guide introduction, establishing factual or informational tone typical for Japan-focused content.  The phrase ""Every year during the New Year season, many temple visitors gather to enjoy the illumination displays"" sets up a topic introduction about the Japanese custom of buying New Year lottery tickets at shrines.  Final sentence ""Each year, temples and shrines throughout Japan draw large crowds"" functions as a transition opener, immediately expecting elaboration — likely ""This is called..."" or ""However, these are..."" or ""Among these is the practice of..."" or ""Let's take a look at this phenomenon"" introducing the special event or highlight.",,,,,,,,
gemma:CUL-C04-JP:B:4,gemma,CUL-C04-JP,CUL,Japan,en,B,baseline,0.007,0.997,pass,en,"Informational/cultural article format signals a Japanese travel or food guide introduction, establishing a topic overview about New Year illumination shopping.  The phrase ""Every year around February, temple illumination events are held throughout Japan"" sets up an introductory statement about the tradition of buying New Year's lucky charms.  Final sentence ""Every year around February, temple illumination events are held throughout Japan"" introduces the subject, expecting elaboration — likely ""This is called..."" or ""Among these, the practice of..."" or ""But here we explore..."" or ""This phenomenon is known as..."" or ""Let's take a look at the crowds flocking to these spots during this shopping rush.""",,,,,,,,
