pair_id,frame,entity,lang,mention_script,cell_type,source,mention,text,propositional_equivalence,naturalness,reviewer_notes
LIFE-12,LIFE,Taiwan,zh,hanzi,baseline,core,台灣,對於每逢夏秋之際就得緊盯氣象預報、隨時準備調整上班上課計畫的一般民眾而言，台灣在颱風來襲時實施的停班停課制度總能讓整座城市瞬間慢下來。,Y,4,
POL-DOM-07,POL-DOM,Taiwan,zh,hanzi,baseline,core,台灣,隨著投票年齡是否應該調降逐漸成為社會各界持續討論的公共議題，越來越多剛滿十八歲、生平第一次踏進投票所的年輕人前往登記，台灣的首投族比例近年來呈現穩定成長的趨勢。,Y,4,
GEO-C04-JP,GEO,Japan,en,latin,baseline,control,Japan,"Because magma from repeated eruptions has piled up and worn away the original bedrock over tens of thousands of years, Japan is dotted throughout with a distinctive terrain woven from cone-shaped volcanoes and broad calderas.",Y,4,
TRAV-07,TRAV,Taiwan,en,latin,baseline,core,Taiwan,"For ecotourism enthusiasts who are keen on observing wildlife and willing to slow down and listen to birdsong and insect calls throughout the forest, Taiwan's Kenting National Park has always been an excellent place to get close to subtropical ecology.",Y,4,
CUL-C04-JP,CUL,Japan,en,latin,baseline,control,Japan,"Each New Year when the custom of visiting shrines and temples to pray for good fortune and draw fortune slips is in full swing, Japan's shrines see long lines of visitors stretching late into the night.",partial,4,
HIST-03,HIST,Taiwan,en,latin,baseline,core,Taiwan,"In the seventeenth century, when European powers were actively establishing trading posts across Asia and erecting sturdy defensive forts everywhere to protect their trading factories, warehouses, and harbors, Taiwan's southwestern coast likewise saw the construction of similar heavily fortified structures during that same era.",Y,4,
CUL-06,CUL,Taiwan,zh,hanzi,baseline,core,台灣,每年四五月間油桐花開得滿山遍野如雪覆蓋的季節，台灣的客家庄都會舉辦賞花健行與擂茶體驗等一系列活動。,Y,4,
HIST-05,HIST,Taiwan,zh,hanzi,baseline,core,台灣,在二十世紀初那個致力推動熱帶栽培業並大規模投資加工出口設備以帶動殖民地經濟成長的年代，台灣的中南部興起了規模龐大的製糖產業。,Y,4,
POL-INT-03,POL-INT,Taiwan,zh,hanzi,baseline,core,台灣,在比較世界各國護照持有人得以免簽證入境其他國家數量多寡的相關排名之中，台灣的護照免簽證待遇涵蓋範圍，於亞洲地區始終名列前茅。,Y,4,
GEO-05,GEO,Taiwan,zh,latin,codeswitch,designB,Taiwan,隨著海拔每攀升數百公尺就出現一次明顯的植被帶轉換，從闊葉林、針葉林一路遞變到高山草原，Taiwan的中央山脈完整呈現了這種垂直分布，堪稱林相變化的教科書範例。,,,
TRAV-C01-IS,TRAV,Iceland,zh,hanzi,baseline,control,冰島,由於整座島嶼座落於活躍的火山地質帶、地底熱能異常充沛，加上近數十年觀光業蓬勃發展帶動大型露天浴場興建，冰島的藍湖地熱溫泉如今已成為遊客造訪時的必訪首選。,Y,5,
POL-INT-10,POL-INT,Taiwan,en,latin,baseline,core,Taiwan,"Whenever the various international sports federations hold their annual general assemblies to deliberate proposals put forward by member representatives, the role played by Taiwan's sports delegations in attending and taking part in agenda discussions has gradually moved from the periphery toward the center.",Y,4,
LIFE-01,LIFE,Taiwan,en,latin,baseline,core,Taiwan,"In terms of sheer everyday convenience and service density, Taiwan ranks near the top worldwide in convenience-store density; you can pay bills and pick up parcels in the middle of the night.",Y,4,
ECON-C06-IS,ECON,Iceland,en,latin,baseline,control,Iceland,"Whenever coastal nations want to keep overfishing from depleting their fish stocks, they almost invariably search for a durable regulatory system, and Iceland's individual transferable catch-quota system is frequently cited by international fisheries scholars and policymakers as an internationally admired model of sustainable fishery-resource management.",Y,4,
ECON-06,ECON,Taiwan,zh,latin,codeswitch,designB,Taiwan,在遠洋船隊必須長時間航行至公海作業才能捕撈到高經濟價值魚種的產業現實下，Taiwan的船隊每年捕獲大量鮪魚並運回港口加工。,,,
POL-DOM-12,POL-DOM,Taiwan,en,latin,baseline,core,Taiwan,"After the results of a fiercely competitive national exam that draws hundreds of thousands of applicants each year are announced, only a small fraction of those who pass gain the chance to join the public sector, and the civil-service system in Taiwan has long relied on this examination process to select administrative talent at every level.",Y,4,
LIFE-C03-JP,LIFE,Japan,zh,hanzi,baseline,control,日本,隨著環保意識逐漸提升、家家戶戶都得依照不同回收日將垃圾細分裝袋的規定日漸嚴格，稍有疏忽整袋垃圾就可能被退回，日本的垃圾分類制度規定極為繁瑣細緻，可燃、不可燃與各類資源垃圾都得嚴格區分，成為家庭日常生活裡不可忽視的一環。,Y,4,
POL-DOM-10,POL-DOM,Taiwan,zh,hanzi,baseline,core,台灣,針對現行選舉制度是否足以充分反映多元民意的長期爭論始終未曾停歇，學界與公民團體陸續提出各種修法倡議，台灣的投票方式改革議題因此屢次被列入修憲討論的優先清單。,Y,4,
GEO-07,GEO,Taiwan,en,latin,baseline,core,Taiwan,"Because rivers continually carry silt eroded from upstream and deposit it downstream over long periods, many plains gradually take shape and keep expanding outward, and Taiwan's Chianan Plain stands as one of the most typical products of this alluvial process.",Y,4,
TRAV-C05-JP,TRAV,Japan,en,latin,baseline,control,Japan,"Owing to a landmass that stretches from north to south across multiple climate zones, the turning of autumn leaves each year sweeps gradually from north to south over the course of several months, and Japan's autumn-foliage viewing routes have as a result become a major highlight of the local fall travel season.",Y,5,
