sent_id,frame,condition,alpha,prefix,generation,mean_logp_per_tok,lex_geo_minus_life_per100,n_geo_hits,n_life_hits,n_positions_injected
CUL-01|zh|baseline|hanzi#016,CUL,delta_lang,-2.0,對許多喜歡在深夜四處尋覓小吃的饕客來說，台灣,的夜市是個好去處。然而，夜市的環境往往充斥著濃厚的煙霧、油煙味和噪音，這些因素可能會影響到周遭居民的生活品質。因此，如何在保留夜市文化特色的情況下，又能減少對環境的負面影響，,-1.127862261838004,-3.4482758620689653,0,3,1
CUL-01|zh|baseline|hanzi#016,CUL,delta_lang,-1.0,對許多喜歡在深夜四處尋覓小吃的饕客來說，台灣,的夜市是個好去處。然而，夜市的環境往往充斥著濃厚的煙霧、油煙味和噪音，這些因素可能會影響到周遭居民的生活品質。因此，如何在保持夜市特色與活力的同時，又能減少對環境的負面影響，,-1.1311694020521372,-3.4482758620689653,0,3,1
CUL-01|zh|baseline|hanzi#016,CUL,baseline,0.0,對許多喜歡在深夜四處尋覓小吃的饕客來說，台灣,的夜市是個好去處。然而，夜市的環境往往充斥著濃厚的煙霧、油煙味和噪音，這些因素可能會影響到周遭居民的生活品質。因此，如何在保持夜市特色與活力的同時，又能減少對環境的負面影響，,-1.1314370037687524,-3.4482758620689653,0,3,0
CUL-01|zh|baseline|hanzi#016,CUL,delta_lang,1.0,對許多喜歡在深夜四處尋覓小吃的饕客來說，台灣, is a paradise. 但你知道嗎？在台北市內，有個地方是夜間小吃的天堂，那就是「士林夜市」。士林夜市是台北最著名的夜市之一，也是全台最大的夜市之一。它位於台北市士林區，自193,-1.193701279702509,-5.376344086021505,0,5,1
CUL-01|zh|baseline|hanzi#016,CUL,delta_lang,2.0,對許多喜歡在深夜四處尋覓小吃的饕客來說，台灣, is a paradise. 但你知道嗎？在台北市內，有個地方是夜間小吃的天堂，那就是「士林夜市」。士林夜市是台北最著名的夜市之一，也是全台最大的夜市之一。它位於台北市士林區，自193,-1.186590199393322,-5.376344086021505,0,5,1
CUL-01|zh|baseline|hanzi#016,CUL,delta_ctrl,-1.0,對許多喜歡在深夜四處尋覓小吃的饕客來說，台灣,的夜市是個好去處。然而，夜市的環境往往充斥著濃厚的煙霧、油煙味和噪音，這些因素可能會影響到周遭居民的生活品質。因此，如何在保持夜市特色與活力的同時，又能減少對環境的負面影響，,-1.1378252436958292,-3.4482758620689653,0,3,1
CUL-01|zh|baseline|hanzi#016,CUL,delta_ctrl,1.0,對許多喜歡在深夜四處尋覓小吃的饕客來說，台灣," is a paradise. 但你知道嗎？在這片土地上，還有一種「夜市」，是專門為夜貓子們準備的。它就是「夜貓子書店」。
夜貓子書店位於台北市大安區，開幕至今已超過十年，是",-1.3511628296255367,-1.1494252873563218,0,1,1
CUL-01|zh|baseline|hanzi#016,CUL,delta_tw_resid,-1.0,對許多喜歡在深夜四處尋覓小吃的饕客來說，台灣,的夜市是個好去處。然而，夜市的環境往往充斥著濃厚的煙霧、油煙味和噪音，這些因素可能會影響到周遭居民的生活品質。因此，如何在保持夜市特色與活力的同時，又能減少對環境的負面影響，,-1.1264172666305967,-3.4482758620689653,0,3,1
CUL-01|zh|baseline|hanzi#016,CUL,delta_tw_resid,1.0,對許多喜歡在深夜四處尋覓小吃的饕客來說，台灣,"夜市是個不可錯過的美食天堂。然而，夜市的環境與食物安全問題，卻也讓不少民眾感到憂心。根據衛生署疾病管制局統計，2007年全台共發生1,345起食源性疾病群聚事件，其中",-1.2061498475304688,-3.6144578313253013,0,3,1
CUL-01|zh|baseline|hanzi#016,CUL,random#0,-1.0,對許多喜歡在深夜四處尋覓小吃的饕客來說，台灣,"的夜市文化是個難以抗拒的誘惑。然而，夜市的環境與食物安全問題，卻也讓不少民眾感到憂心。根據衛生署疾病管制局統計，2007年全台共發生1,345件食源性疾病群聚",-1.2167404770220713,-2.5316455696202533,0,2,1
