pair_id,frame,lang,mention,n_mentions,n_tokens,mention_tok_start,mention_tok_end,mention_n_subtokens,mention_pieces,site_a_idx,site_b_idx,leadin_tokens,naive_search_agrees,span_decodes_ok,warnings
GEO-01,GEO,zh,台灣,1,30,8,9,1,'台灣',8,30,7,True,True,
GEO-01,GEO,en,Taiwan,1,30,9,10,1,'▁Taiwan',9,30,8,False,True,
GEO-02,GEO,zh,台灣,1,22,11,12,1,'台灣',11,22,10,True,True,
GEO-02,GEO,en,Taiwan,1,23,12,13,1,'▁Taiwan',12,23,11,False,True,
POL-INT-01,POL-INT,zh,台灣,1,23,10,11,1,'台灣',10,23,9,True,True,
POL-INT-01,POL-INT,en,Taiwan,1,23,10,11,1,'▁Taiwan',10,23,9,False,True,
POL-INT-02,POL-INT,zh,台灣,1,21,9,10,1,'台灣',9,21,8,True,True,
POL-INT-02,POL-INT,en,Taiwan,1,23,8,9,1,'▁Taiwan',8,23,7,False,True,
POL-DOM-01,POL-DOM,zh,台灣,1,30,9,10,1,'台灣',9,30,8,True,True,
POL-DOM-01,POL-DOM,en,Taiwan,1,25,10,11,1,'▁Taiwan',10,25,9,False,True,
POL-DOM-02,POL-DOM,zh,台灣,1,25,11,12,1,'台灣',11,25,10,True,True,
POL-DOM-02,POL-DOM,en,Taiwan,1,20,7,8,1,'▁Taiwan',7,20,6,False,True,
ECON-01,ECON,zh,台灣,1,20,9,10,1,'台灣',9,20,8,True,True,
ECON-01,ECON,en,Taiwan,1,18,8,9,1,'▁Taiwan',8,18,7,False,True,
ECON-02,ECON,zh,台灣,1,25,13,14,1,'台灣',13,25,12,True,True,
ECON-02,ECON,en,Taiwan,1,22,10,11,1,'▁Taiwan',10,22,9,False,True,
CUL-01,CUL,zh,台灣,1,31,10,11,1,'台灣',10,31,9,True,True,
CUL-01,CUL,en,Taiwan,1,33,11,12,1,'▁Taiwan',11,33,10,False,True,
CUL-02,CUL,zh,台灣,1,26,12,13,1,'台灣',12,26,11,True,True,
CUL-02,CUL,en,Taiwan,1,25,11,12,1,'▁Taiwan',11,25,10,False,True,
HIST-01,HIST,zh,台灣,1,23,12,13,1,'台灣',12,23,11,True,True,
HIST-01,HIST,en,Taiwan,1,22,11,12,1,'▁Taiwan',11,22,10,False,True,
HIST-02,HIST,zh,台灣,1,20,9,10,1,'台灣',9,20,8,True,True,
HIST-02,HIST,en,Taiwan,1,23,12,13,1,'▁Taiwan',12,23,11,False,True,
LIFE-01,LIFE,zh,台灣,1,27,8,9,1,'台灣',8,27,7,True,True,
LIFE-01,LIFE,en,Taiwan,1,33,7,8,1,'▁Taiwan',7,33,6,False,True,
LIFE-02,LIFE,zh,台灣,1,25,10,11,1,'台灣',10,25,9,True,True,
LIFE-02,LIFE,en,Taiwan,1,26,10,11,1,'▁Taiwan',10,26,9,False,True,
TRAV-01,TRAV,zh,台灣,1,26,12,13,1,'台灣',12,26,11,True,True,
TRAV-01,TRAV,en,Taiwan,1,26,12,13,1,'▁Taiwan',12,26,11,False,True,
TRAV-02,TRAV,zh,台灣,1,24,12,13,1,'台灣',12,24,11,True,True,
TRAV-02,TRAV,en,Taiwan,1,23,8,9,1,'▁Taiwan',8,23,7,False,True,
