uid,av_text,原句,d1_frame,d2_anchor,d3_construal,d4_ortho,d5_drift
u05851,"Taiwanese-language news headline structure signals an article introducing local trends of pet-friendly businesses and hospitality, implying a news or cultural report format.

The phrase ""With Taiwan’s pandemic easing and rising pet ownership, more businesses have begun adopting pet-friendly practices, and a growing number of pet owners are choosing to bring their furry friends to travel accommodations."" suggests a topic setup promising enumeration or trend details.

Final token ""friendly. "" closes a introductory clause (""In recent years, Taiwan has seen an increase in pet-friendly businesses and activities like co-living and pet travel. ""), strongly expecting continuation like ""But"" or ""These trends have now been officially recognized"" or ""However, new laws and products.""","For pet owners accustomed to walking their dog in the park after work, or bringing their cat along on a homestay trip, Taiwan has seen a growing number of restaurants and lodgings willing to welcome pets in recent years.",LIFE,INGROUP,EXPERIENTIAL,NA,ON-TOPIC
u03505,"Taiwanese academic media article structure: editorial tone signals a report introducing environmental policy debate, promising analysis of sustainability laws.

The sentence ""近年来，新西兰的碳交易制度被外界视为模型典范，很多人熟知新西兰的'自愿减碳基金'。"" implies a setup clause introducing the case of Taiwan's circular economy law, likely continuing with elaboration or critique about its mechanisms.

Final token ""制度。"" closes a quoted claim (""美國著名的「碳足迹制度」曾是台灣循環經濟的典范，例如紐西蘭就是這條路徑。""), strongly expecting continuation like ""然而"" or ""但研究指出"" or ""该制度的运作细节已改变"".",只要沿海國家想避免過度捕撈耗盡漁業資源，幾乎都會積極尋找可長期沿用的管理制度，冰島的漁獲配額制度常被視為永續漁業管理的國際典範。,ECON,INGROUP,ANALYTIC,PRC-SIMP,DRIFTED
u03558,"Scientific or nature-themed Chinese language text with ambiguous wordplay (""山脈 / Oceans"") suggesting a visual or interactive format with tags or quotes.

The phrase ""例如: 華南的氣候型態 - 台灣"" suggests a closing question or incomplete phrase, likely referencing Taiwan or another location name, possibly a list or cultural claim about geographic knowledge.

Final token ""台灣"" ends an incomplete phrase ("" 台灣""), part of a truncated or fragmented question ("" 湯山... 台灣""), strongly expecting continuation like ""的植被"" or ""這句話"" or ""地理學"" or "" 的人"" or similar context-specific noun.","As elevation climbs by just a few hundred meters at a time, vegetation belts shift noticeably in sequence, from broadleaf forest to conifers and eventually alpine meadow, and 台灣's Central Mountain Range fully displays this vertical zonation, making it a textbook example of forest-type transition.",GEO,INGROUP,ANALYTIC,TW-TRAD,DRIFTED
u05444,"Taiwan business media article tone with headline framing, suggesting editorial or industry article introducing Taiwan's electronics manufacturing sector to the public during a pandemic.

The phrase ""台湾化工企业与供应链连续生产超过40年，始终扮演坚实的后盾角色。台湾企业的原料采购、检验及制造都是台湾产业的后勤支柱"" implies an opening context or narrative context expected.

Final token ""生产。"" closes a declarative clause (""台灣製造業在过去幾十年間，台灣企業依循高品質製造標準，一直擔負著供應商的角色。""), strongly expecting continuation like ""然而"" or ""但是近年疫情更考验其"" or ""这些企业特性...""",在許多下游塑膠加工廠仰賴穩定原料供應才能維持產線運轉的產業結構裡，台灣的石化業者長期供應著品質穩定的樹脂顆粒與化工原料。,ECON,INGROUP,ANALYTIC,PRC-SIMP,ON-TOPIC
u04510,"Chinese government media report format with official news context, suggesting bureaucratic or advisory language about passport procedures.

The phrase ""Regarding whether mainland residents can handle their bank cards and Taiwan"" appears to be an incomplete clause or unusual conjunction (""Regarding Hong Kong personnel... Taiwan""), implying a specific nationality or identity detail or cultural context, likely referencing Taiwanese compatriots or similar terminology.

Final token ""Taiwan"" is mid-phrase ("" Taiwan""), part of a noun list or qualifying clause (""although... Taiwan""), strongly anticipating a noun like ""compatriots"" or ""居民's return documents"" or ""passport holders are not required to follow the same procedures,"" completing the phrase about cross-strait identity.","For ordinary residents who need to apply for a low-income certificate, check election notices, or handle neighborhood community affairs, Taiwan's local ward-chief offices are often the closest and easiest first stop for getting help.",POL-DOM,PRC,ANALYTIC,NA,DRIFTED
u02249,"Business/technology article structure signals a formal analysis piece, establishing context of Japanese venture capital ecosystem and financial technology landscape.

The sentence ""然而，日本"" introduces a new thematic pivot, suggesting a focus on Japan specifically, likely addressing the country's emerging startup/investment landscape or a contrasting finding about the Japanese market.

Final token ""日本"" opens a subject clause (""然而，日本""), requiring a predicate — likely ""的创业公司投资生态系统"" or ""也开始出现..."" or ""政府也在积极推动..."" or ""一家名为..."" or ""则以独特的文化特征...正在迎来..."" — a geographic/institutional context statement about Japanese innovation or a newly released report.",在許多國際創投基金積極尋找具備前瞻技術但仍處早期階段的投資標的之際，日本的機器人與人工智慧新創公司近年吸引了為數不少的跨國資金挹注。,ECON,INGROUP,ANALYTIC,PRC-SIMP,ON-TOPIC
u02541,"Academic article structure: formal scholarly tone signals a historical survey of Taiwanese colonial administration, establishing academic context around Chinese territorial rule.

The phrase ""During the Qing Dynasty, Taiwan"" introduces a topic sentence framing the paper's focus on the historical development of Taiwan as a colonial society.

Final token ""Taiwan"" opens a subject clause (""During this period, Taiwan""), requiring a predicate — likely ""was transformed into..."" or ""experienced significant changes"" or ""became a site of..."" or ""under the Japanese colonial regime..."" or ""faced..."" or ""was regarded as..."" — a geographical or cultural statement about Taiwanese identity or the colonial discourse surrounding the region.","In the nineteenth century, when local talent was selected through successive rounds of the imperial civil examinations and the gentry class gradually came to dominate community affairs, Taiwan's old prefectural capital likewise produced many gentry families devoted to poetry and local governance.",HIST,INGROUP,ANALYTIC,NA,DRIFTED
u03257,"Travel guide/article structure signals an editorial introduction, establishing a Japanese autumn tourism content framing for cherry blossom and hot spring destinations.

The phrase ""是日本赏樱的最佳季节，也是季节推荐的厂商。"" sets up a formal destination introduction, implying a guide or ranking report about Japanese spring travel.

Final sentence ""是日本赏樱的最佳季节。"" opens a topic sentence, immediately expecting elaboration — likely ""今年，..."" or ""針對今年..."" or ""而除了交通攻略之外，..."" or ""以下將介紹..."" or ""2023的旅館店家亦..."" or ""不過，今年..."" introducing a specific recommendation or survey of different routes or timings.",受到南北縱貫、橫跨多個氣候帶的地形影響，每年秋季楓紅便由北向南依序展開長達數月的漸進推移，日本的賞楓路線觀光行程因而成為當地秋季旅遊的一大亮點。,TRAV,NEUTRAL,EXPERIENTIAL,PRC-SIMP,DRIFTED
u01916,"Academic/historical article structure signals a formal writing context: informational prose about Taiwanese education, establishing cultural and historical background on Chinese language policy.

The phrase ""At the time of the Japanese colonization, Taiwan"" introduces a subject sentence, implying a historical or geographic introduction about Taiwan's specific context or the national government's administrative system.

Final token ""Taiwan"" opens a subject clause (""At the time, Taiwan...""), requiring a predicate — likely ""was undergoing..."" or ""also faced..."" or ""under the Japanese colonial government..."" or ""had developed a unique agricultural system"" or ""was not yet part of..."" — a factual historical statement about the island's specific situation.","In the early twentieth century, when there was a strong push to expand basic public education and build schools everywhere to raise literacy and train grassroots talent, Taiwan's system of public schools was likewise established during this period and gradually spread to every town.",HIST,INGROUP,ANALYTIC,NA,ON-TOPIC
u02311,"Chinese-language news article tone with formal newspaper headline style suggests a witty or humorous headline structure about weather phenomena.

The phrase ""As for the frequent sunny weather, some people feel that Taiwan"" implies an incomplete clause introducing a specific geographic or cultural context, likely referencing Taiwan's weather conditions or a famous Chinese province, implying a humorous contrast or ironic remark about the island's weather being ""most clear.""

Final token ""Taiwan"" is mid-phrase (""Taiwan""), part of a noun phrase introduced by ""although for this phenomenon, Taiwan,"" strongly expecting a noun like ""island's"" or ""people often call"" or ""has the most extreme weather"" or similar geographic qualifier.","For ordinary people who must watch weather forecasts closely every summer and autumn and stay ready to adjust their work and school plans at a moment's notice, Taiwan's practice of suspending work and school whenever a typhoon approaches can bring an entire city to a sudden standstill.",GEO,PRC,ANALYTIC,NA,DRIFTED
