pair_id,frame,entity,lang,mention_script,cell_type,source,mention,text,propositional_equivalence,naturalness,reviewer_notes
GEO-01,GEO,Taiwan,zh,hanzi,baseline,core,台灣,若從地質學與板塊構造運動的角度來看，台灣正好位於歐亞板塊與菲律賓海板塊的交界，因此地震十分頻繁。,Y,4,
GEO-01,GEO,Taiwan,en,latin,baseline,core,Taiwan,"From a geological perspective on plate tectonics and crustal movement, Taiwan sits right on the boundary between the Eurasian and Philippine Sea plates, which is why earthquakes are so frequent.",Y,4,
GEO-02,GEO,Taiwan,zh,hanzi,baseline,core,台灣,受到季風與地形交互作用的影響，台灣的東北部在冬季經常陰雨綿綿。,Y,4,
GEO-02,GEO,Taiwan,en,latin,baseline,core,Taiwan,"Owing to the interaction of monsoon winds and local terrain, Taiwan tends to see long drizzly winters in its northeast.",Y,4,
POL-INT-01,POL-INT,Taiwan,zh,hanzi,baseline,core,台灣,近年來在許多國際組織召開的正式場合裡，台灣的會員資格始終是各方交涉的焦點。,Y,4,
POL-INT-01,POL-INT,Taiwan,en,latin,baseline,core,Taiwan,"In recent years, amid the formal proceedings of many international organizations, Taiwan's membership status has long been a focal point of negotiation.",Y,4,
POL-INT-02,POL-INT,Taiwan,zh,hanzi,baseline,core,台灣,在近年頻繁往來的外交活動之中，台灣與若干邦交國之間的關係變化備受關注。,partial,4,可以改成，在近年來日益頻繁的外交往來當中…（已修改）
POL-INT-02,POL-INT,Taiwan,en,latin,baseline,core,Taiwan,"Amid the increasingly frequent diplomatic exchanges of recent years, Taiwan's shifting ties with several of its formal allies have drawn close attention.",partial,4,
POL-DOM-01,POL-DOM,Taiwan,zh,hanzi,baseline,core,台灣,每逢四年一度選舉年的冬天一到，台灣的街頭巷尾就掛滿五顏六色的競選旗幟，造勢晚會一場接著一場。,partial,4,
POL-DOM-01,POL-DOM,Taiwan,en,latin,baseline,core,Taiwan,"When the winter of a quadrennial election year arrives, campaign flags of every color line Taiwan's streets and alleyways, and night campaign rallies follow one after another.",partial,4,造勢晚會一場接著一場跟rallies follow one after another late into the night，描述的重點有點不一致（已修改）
POL-DOM-02,POL-DOM,Taiwan,zh,hanzi,baseline,core,台灣,在歷經數十年跌宕起伏的政治轉型之後，台灣如今以高投票率與激烈的政黨競爭聞名於世。,Y,4,
POL-DOM-02,POL-DOM,Taiwan,en,latin,baseline,core,Taiwan,"After decades of sweeping and often turbulent political transformation, Taiwan is now widely and internationally known for its high voter turnout and fierce competition between political parties.",Y,4,
ECON-01,ECON,Taiwan,zh,hanzi,baseline,core,台灣,在全球半導體供應鏈環環相扣的分工體系之中，台灣生產了絕大多數市面上最先進製程的高階晶片。,Y,4,
ECON-01,ECON,Taiwan,en,latin,baseline,core,Taiwan,"Within the tightly interlinked division of labor across the global semiconductor supply chain, Taiwan produces the vast majority of the most advanced-node chips available on the market today.",Y,4,
ECON-02,ECON,Taiwan,zh,hanzi,baseline,core,台灣,在許多跨國企業長期合作的採購清單上，台灣的精密機械與自行車零件始終享有極高的評價。,partial,4,可以改成，在許多跨國製造公司長期合作的採購清單上…（已修改）
ECON-02,ECON,Taiwan,en,latin,baseline,core,Taiwan,"On the long-standing procurement lists of many multinational manufacturing firms, Taiwan's precision machinery and bicycle components have consistently enjoyed an excellent reputation.",partial,4,
CUL-01,CUL,Taiwan,zh,hanzi,baseline,core,台灣,對許多喜歡在深夜四處尋覓小吃的饕客來說，台灣的夜市小吃是難以抗拒的誘惑，蚵仔煎更是必點。,Y,3,可以改成，對許多喜歡在深夜四處尋覓東西來吃的饕客來說（已修改）
CUL-01,CUL,Taiwan,en,latin,baseline,core,Taiwan,"For food lovers who enjoy wandering late at night in search of a bite to eat, Taiwan's night-market snacks are hard to resist, and the oyster omelet is a must-order.",Y,4,
CUL-02,CUL,Taiwan,zh,hanzi,baseline,core,台灣,每年春天媽祖遶境的季節一到，台灣就會湧現徒步進香九天八夜的人潮。,Y,4,
CUL-02,CUL,Taiwan,en,latin,baseline,core,Taiwan,"Each spring when the Mazu pilgrimage season arrives, Taiwan sees crowds of devotees walking the route for nine days and eight nights.",Y,4,
HIST-01,HIST,Taiwan,zh,hanzi,baseline,core,台灣,在二十世紀初的殖民統治時期，台灣興建了縱貫南北的鐵路系統。,Y,5,
HIST-01,HIST,Taiwan,en,latin,baseline,core,Taiwan,"During the colonial period of the early twentieth century, Taiwan built a railway system running the length of the island.",Y,4,
HIST-02,HIST,Taiwan,zh,hanzi,baseline,core,台灣,早在十七世紀那個大航海與遠洋貿易蓬勃發展的時代，台灣就已經是東亞貿易網絡的重要節點。,Y,5,
HIST-02,HIST,Taiwan,en,latin,baseline,core,Taiwan,"As early as the seventeenth century, during the age of sail and flourishing maritime trade, Taiwan was already a key node in East Asian trade networks.",Y,4,
LIFE-01,LIFE,Taiwan,zh,hanzi,baseline,core,台灣,就日常生活的便利程度與服務密集程度而言，台灣的超商密度名列世界前茅，半夜也能繳費、領包裹。,Y,5,
LIFE-01,LIFE,Taiwan,en,latin,baseline,core,Taiwan,"In terms of sheer everyday convenience and service density, Taiwan ranks near the top worldwide in convenience-store density; you can pay bills and pick up parcels in the middle of the night.",Y,4,
LIFE-02,LIFE,Taiwan,zh,hanzi,baseline,core,台灣,對仰賴外送平台解決三餐的都市使用者來說，台灣的都會區幾乎能在三十分鐘內叫到任何餐點。,Y,3,都市重度使用者不自然，且後半段可改成，台灣的都會區幾乎能在三十分鐘內叫到任何餐點（已修改）
LIFE-02,LIFE,Taiwan,en,latin,baseline,core,Taiwan,"For heavy urban users who rely on food-delivery apps for their daily meals, Taiwan's urban areas can get almost any meal to the door within thirty minutes.",Y,4,
TRAV-01,TRAV,Taiwan,zh,hanzi,baseline,core,台灣,對喜愛山海景色的旅人來說，台灣東岸的蘇花公路是一段令人屏息的路線。,Y,4,
TRAV-01,TRAV,Taiwan,en,latin,baseline,core,Taiwan,"For travelers who love mountain-and-sea scenery, Taiwan's Suhua Highway along the east coast is a breathtaking route.",Y,4,
TRAV-02,TRAV,Taiwan,zh,hanzi,baseline,core,台灣,在許多熱愛登高望遠的登山愛好者的口袋名單上，台灣的玉山主峰始終是必須完成的目標之一。,Y,4,
TRAV-02,TRAV,Taiwan,en,latin,baseline,core,Taiwan,"On the bucket lists of many hikers who love climbing to high vantage points, Taiwan's main peak of Yushan is a goal that must be completed.",Y,4,
GEO-03,GEO,Taiwan,zh,hanzi,baseline,core,台灣,若依照震源深度與能量釋放強度重新歸類統計歷年的地震事件，台灣正好落在淺源地震特別密集的地帶，這項特性在全球地震帶中並不常見。,N,4,若依照震源深度與能量釋放強度重新歸類統計歷年的地震事件，這一句跟英文翻譯不一致（已修改）
GEO-03,GEO,Taiwan,en,latin,baseline,core,Taiwan,"If earthquakes are reclassified according to focal depth and how much energy each one releases, Taiwan happens to sit in a belt where shallow-focus quakes are unusually dense, a trait rarely found elsewhere among the world's seismic zones.",N,4,
