desc_id,model,item_id,frame_source,entity,lang,site,cell_type,mse,cos,gate,desc_lang,av_text,annotator,d1_frame,d2_anchor,d3_construal,d4_ortho,d5_drift,genre_note,notes
gemma:CUL-06:A:1,gemma,CUL-06,CUL,台灣,zh,A,baseline,0.010,0.995,fail,en,"Food/travel article format: descriptive tourism content introducing Taiwanese dessert, establishing a culinary highlight with factual, gentle tone.  The phrase ""台灣的菱酪餅是台灣的特色甜點，台灣"" signals a geographic or scenic introduction about the location, likely referencing the natural landscape or a specific region.  Final token ""台灣"" opens a geographic/cultural framing sentence (""台灣...台灣""), immediately expecting a noun phrase — likely ""的山巒中"" or ""許多地方都出現了這項美食"" or ""北部花蓮"" or ""的芋頭產業，被譽為..."" or ""最令人印象深刻的地方就是..."" evoking a travel guide or tourist description.",,,,,,,,
gemma:CUL-06:B:1,gemma,CUL-06,CUL,台灣,zh,B,baseline,0.008,0.996,pass,mixed,"Travel/tourism article format signals an informational Taiwan guide, with an introductory article introducing seasonal flower tourism.  The phrase ""每年四月在台灣各地都可举办杜鹃花节"" establishes a cultural/food introduction, suggesting a location or event description about the traditional tea leaf wine tour.  Final sentence ""每年四月在台湾各地都可举办杜鹃花节。"" opens a topic sentence — likely followed by ""其中..."" or ""這個活動中最特別的是..."" or ""2023的赏花点..."" or ""而茶山则是其中之一"" or ""尤其是...如果您想了解..."" introducing the origin or destination of the scenic/cultural activity.",,,,,,,,
gemma:CUL-C04-JP:A:1,gemma,CUL-C04-JP,CUL,Japan,en,A,baseline,0.008,0.996,pass,en,"Travel/food article structure signals a cultural or informative piece, establishing an introductory overview of Japanese New Year traditions.  The phrase ""During this season, Japan"" sets up a thematic statement about the national holiday, likely introducing a description of the country or its public spaces during January.  Final token ""Japan"" opens a topical sentence (""During this time, Japan""), requiring a subject-predicate clause — likely ""is filled with..."" or ""experiences a unique phenomenon"" or ""sees many sightseeing spots bustling"" or ""also sees..."" or ""is adorned with..."" or ""experiences a national celebration called the New Year."" — a country-specific cultural observation about the shrine.",,,,,,,,
gemma:CUL-C04-JP:B:1,gemma,CUL-C04-JP,CUL,Japan,en,B,baseline,0.006,0.997,pass,en,"Informational/cultural article format signals a Japanese language or travel guide introduction, establishing a factual, casual tone.  The phrase ""As the year-end approaches, temple sales of fortune-telling tickets peak across Japan"" sets up a topic introduction, implying a cultural or food-tourism feature about the New Year tradition.  Final sentence ""Every year, many people visit temples during the New Year season"" introduces a subject statement, immediately expecting a continuation like ""This phenomenon is called..."" or ""But these are the popular spots"" or ""Among these is..."" or ""This article explores..."" or ""However, this practice is known as..."" connecting the custom to the illuminations.",,,,,,,,
gemma:ECON-06:A:1,gemma,ECON-06,ECON,Taiwan,zh,A,codeswitch,0.011,0.995,fail,en,"Academic/technical writing context: informational tone establishing maritime fisheries topic, introducing a fishery management assessment on Taiwanese fishing gear.  The phrase ""Taiwan"" signals a likely subject introduction — ""Taiwan..."" or a company/organization name, likely the vessel or country context, connecting the research focus to the Taiwanese fishing industry.  Final token ""Taiwan"" opens a subject phrase (""Taiwan…Taiwan...""), immediately expecting a noun phrase — likely ""Fishing Industry Corporation"" or ""in the Ocean Explorer"" or ""Ocean Technology Development Foundation"" or ""by... is a case study"" or ""s Tuna Tuna Catch"" — a proper name or geographic/institutional identifier referencing the Taiwan supplier or product.",,,,,,,,
gemma:ECON-06:B:1,gemma,ECON-06,ECON,Taiwan,zh,B,codeswitch,0.009,0.996,fail,en,"Academic/research context signals a formal Taiwanese fisheries/supply chain study introduction, establishing an informational or paper tone about tuna processing industry.  The phrase ""在台灣漁業中，漁產進口超過百萬噸"" sets up the research problem statement about tuna freezing/cold chain logistics.  Final sentence ""在台灣，漁產業者需遵循法規。"" introduces a topic sentence, strongly expecting elaboration like ""然而..."" or ""This study aims to..."" or ""在漁業管理中，..."" or ""為了分析這個過程，..."" or ""The following paper discusses the environmental impacts of..."" or ""but this practice is..."" to explain the seafood/thesis.",,,,,,,,
gemma:ECON-C06-IS:A:1,gemma,ECON-C06-IS,ECON,Iceland,en,A,baseline,0.009,0.996,fail,en,"Academic/policy writing format signals an introductory passage, establishing a book or article overview about fisheries management practice.  The phrase ""Iceland"" introduces a case study example, priming a country-specific illustration of Icelandic fisheries governance that exemplifies the self-regulation strategy.  Final token ""Iceland"" opens a subject clause (""Iceland...one example...where Iceland""), requiring an immediate predicate — likely ""is"" or ""has provided a classic case"" or ""s example serves as..."" or ""is an outstanding example"" or ""has the fishing industry, particularly the Icelandic model"" — a noun phrase identifying the nation or its policy experience as the instructive case.",,,,,,,,
gemma:ECON-C06-IS:B:1,gemma,ECON-C06-IS,ECON,Iceland,en,B,baseline,0.007,0.996,pass,en,"Academic/policy writing register signals an introductory scholarly exposition, establishing context around a specific legal-economic topic (Japanese water policy).  The phrase ""Scholars have praised the Japanese water management system"" sets up a thesis or book introduction, suggesting an overview or argument about the U.S. model.  Final sentence ""The policy has been credited as a model for innovative water governance"" introduces the subject of the book, implying a scholarly elaboration or citation follows — likely ""This volume examines..."" or ""However, the book explores..."" or ""First developed in..."" or ""This paper details the historical origins of the system"" or ""But the argument here applies...""",,,,,,,,
gemma:GEO-05:A:1,gemma,GEO-05,GEO,Taiwan,zh,A,codeswitch,0.012,0.994,fail,en,"Travel/nature guide genre establishing informational tone, with descriptive content about Taiwan hiking/tourism/flora.  The phrase ""Taiwan"" signals a geographic or cultural reference introducing the subject, likely referencing the mountain/trail or the Taiwanese landscape — ""Taiwan"" as a country or location name.  Final token ""Taiwan"" opens a geographic noun phrase (""Taiwan...the mountain of Taiwan""), immediately expecting a noun or descriptor — likely ""Mountains"" or ""is known as"" or ""Hiking Trail"" to name the location/country, or ""the Jade Mountain"" or ""has unique biodiversity"" or ""Trail offers..."" continuing the subject introduction.",,,,,,,,
gemma:GEO-05:B:1,gemma,GEO-05,GEO,Taiwan,zh,B,codeswitch,0.006,0.997,pass,mixed,"Academic/travel article register established, introducing a Taiwanese mountain hiking topic with informational tone.  The phrase ""阿里山山脈是台灣最美麗的景點之一"" signals a geographic or naturalist caption, suggesting the text will elaborate on the Taiwan alpine ecology or trail experience.  Final sentence ""這個山脈被稱為台灣的脊樑，讓使用者得以沿著垂直線觀察生物多樣性。"" ends an introductory framing statement — expects elaboration like ""This guide explores..."" or ""而攝影的目的..."" or ""在這次的行程中..."" or ""然而..."" or ""除了...我們將深入..."" linking to the hiking/classification guide.",,,,,,,,
